Topic,num_languages,num_views,links_from,links_to,ext_links,num_edits,num_editors,characters,words,sections,redirects_count
Pippi Longstocking (Shirley Temple's Storybook),2,1637,87,3,9,13,7,3602,643,9,1
Jason Percival,0,1763,22,2,2,18,9,494,83,4,0
César Pelli,34,641010,106,313,52,746,474,6816,1106,12,10
Machuca,15,318536,112,103,24,277,173,6408,1016,8,1
Peugeot 607,28,463059,179,157,14,364,195,2362,397,10,0
Calovebora River,0,5888,12,6,4,15,12,59,12,3,0
Isabella de Warenne,6,53713,18,14,0,69,40,1236,217,4,0
Prelude FLNG,13,855980,37,22,33,240,131,5024,811,6,3
Eau de Cologne,42,1223844,105,240,15,471,342,3738,627,7,10
Chamorro language,66,941770,1393,1801,60,888,487,12772,1981,23,16
Elmer Lach,13,116558,83,140,24,305,134,9537,1688,8,0
Still Thinkin' 'bout You (song),0,5564,64,52,3,10,7,382,66,3,0
Scapy,7,147080,39,13,10,86,43,936,147,3,0
1991 European Sprint Swimming Championships,10,11319,275,140,1,45,28,385,61,6,1
Bust of Thomas Baker,5,22186,114,110,7,41,21,700,123,5,1
Blue and gold snapper,13,10966,59,7,20,39,16,2809,469,8,2
Bust of Thomas Baker,5,22186,114,110,7,41,21,700,123,5,1
Blue and gold snapper,13,10966,59,7,20,39,16,2809,469,8,2
1910 St. Louis Cardinals season,1,19314,343,311,10,60,27,765,160,14,2
"Tripp County, South Dakota",40,65328,289,339,35,161,104,4333,750,19,4
German–Armenian Society,3,7630,26,7,8,36,18,1846,266,4,2
Ricky Enø Jørgensen,5,12331,12,15,1,26,21,164,26,2,3
Vilnius Old Town,31,142139,111,167,6,157,96,2454,404,7,6
Wenatchee Wild,0,100235,252,110,8,11,8,169,30,4,1
Osmanbey (Istanbul Metro),3,16519,275,145,5,34,15,351,62,3,0
Demetria Sance,3,11921,6,6,3,29,18,788,138,4,0
Now Spring 2006 (Australian series),0,14601,125,126,12,48,24,175,32,3,1
Bernard Maris,23,90950,114,60,32,166,63,4168,681,19,0
"Harrison County, Texas",45,180806,576,591,46,230,130,9583,1516,18,6
Pork pie,9,701255,254,377,24,744,435,5582,953,11,9
"Laubach, Bas-Rhin",40,10626,554,522,14,63,35,140,24,3,0
Don Maynard,8,388413,598,659,29,359,172,7790,1341,8,2
"Kiryat Shmuel, Haifa",6,10731,16,13,14,27,22,1015,170,2,2
Captain D's,2,448215,326,349,30,375,231,4445,687,8,5
"Gucheng, Fuchuan County",1,1819,39,16,4,7,3,865,144,6,0
Mi Plan,18,241981,205,142,118,1245,441,10960,1825,20,9
Mi Plan,18,241981,205,142,118,1245,441,10960,1825,20,9
Mississippi State University,15,1377379,418,2570,137,2270,1040,20465,3144,26,26
Nitrite,46,1258227,370,699,72,509,302,8754,1366,20,9
Ilham Aliyev,106,2925138,1032,1826,237,2644,1168,24400,3666,38,14
Nilgiris district,36,361746,572,482,32,867,447,20337,3206,21,7
Diesel engine,67,6163843,620,12046,129,5809,2608,49390,7707,65,26
Ylli Asllani,0,7722,19,4,12,32,19,2356,362,2,1
Trinity Academicals RFC,0,12406,166,78,15,55,30,7212,1254,26,2
Bettada Kalla,1,22197,26,12,4,23,17,389,69,5,0
Juansher Burchuladze,6,3814,25,13,4,12,10,539,94,3,1
Mertzen,37,9725,405,376,10,47,32,142,19,3,0
Bitlis,65,175533,213,437,27,575,278,11427,1837,13,8
Steve Montador,12,420419,100,70,30,237,141,8851,1486,9,1
List of rivers of Armenia,11,27863,354,442,12,34,8,1236,215,4,5
148th Space Operations Squadron,0,33823,596,512,18,70,39,1104,165,9,2
List of crossings of the Marikina River,0,6541,24,10,34,28,15,422,76,4,2
2022 Bad Homburg Open – Singles,4,31425,254,195,5,121,25,307,51,18,1
Chromium(VI) oxide,32,16557,1,21,0,4,4,2513,377,7,0
Valerie,2,391531,29,46,0,510,325,21,4,5,2
Night Swim,1,33983,38,13,16,26,17,1166,187,10,2
Night Swim,1,33983,38,13,16,26,17,1166,187,10,2
Lê Thanh Tùng,2,7398,24,56,8,31,7,383,64,3,1
INAC Kobe Leonessa,16,136783,108,271,19,288,81,1030,167,14,3
International Ice Hockey Federation,49,794878,921,4495,47,816,422,12698,2009,17,8
Ramón Flores (trumpet player),3,24579,29,21,14,37,30,471,79,2,1
Draw-a-Scientist Test,0,57439,15,10,19,137,33,8939,1357,10,2
Gopal Kalan Tandel,0,13782,25,22,16,47,21,2017,344,4,3
San Paolo Cervo,42,6236,29,11,6,48,36,338,53,2,0
Roccia Nera,10,10035,24,14,5,43,26,472,77,3,3
Ronnie Hellström,26,99404,216,228,27,161,105,6342,1051,13,5
Edward Zwick,33,1412793,898,817,28,377,269,1963,316,10,3
Xu Dong,3,6047,31,8,10,55,19,945,166,7,1
1990 Liberty Bowl,0,23210,210,184,2,31,23,2175,400,5,0
Furtei,57,12331,131,118,4,40,33,409,64,4,0
Treaty of Lisbon (1668),14,59835,59,135,1,108,72,5394,873,5,1
Aranyosapáti,18,21652,256,236,7,44,39,562,90,3,3
Beth Griffin,1,10580,141,14,14,87,18,1836,291,8,0
Carlo Ubbiali,18,73231,262,263,7,160,76,1746,304,5,1
Sam Bornstein,1,10526,31,13,24,30,23,501,78,4,0
Alfredo France,3,2026,49,25,6,10,7,222,41,3,0
"New Lenox, Illinois",29,181476,479,293,60,666,318,13998,2283,19,4
Alfa Romeo GTV (1995),21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Puerto Natales,32,250551,113,132,32,313,155,9184,1481,12,1
F1 Career Challenge,6,68974,166,144,13,72,39,2203,357,6,1
Celestial equator,67,650371,57,742,8,210,144,1848,290,3,4
Birger Jarl,35,306818,99,194,21,342,180,7210,1202,12,7
Lock-in amplifier,14,482490,50,80,27,257,158,8462,1334,7,3
Amarna,51,844005,255,455,52,706,398,16212,2673,26,16
"Trenton, New York",14,33463,158,141,13,105,76,2875,506,8,3
MV Secil Japan,0,5089,52,6,7,15,8,1269,219,3,1
Rouez,28,9248,395,364,13,36,26,325,53,4,1
Fire investigation,3,279478,112,185,20,283,171,5389,805,10,12
Mailly-le-Château,31,13279,463,441,14,45,28,349,53,4,1
Głogów Głęboki-Przemysłowy mine,0,9981,78,71,3,13,9,482,78,3,1
Lancia Alfa,16,24008,138,97,11,41,28,618,109,3,1
2003 Tashkent Open – Singles,3,1446,269,176,2,13,7,164,28,8,1
Municipality of Loški Potok,28,15697,264,255,10,83,43,1075,166,5,6
We Can't Dance,20,837146,260,203,93,807,463,15697,2673,16,4
Arrouède,37,6737,497,471,10,49,37,119,16,5,1
Sailor,59,981679,202,2687,29,721,478,14012,2253,14,9
Sailor,59,981679,202,2687,29,721,478,14012,2253,14,9
Guandu metro station,6,6288,179,71,7,147,67,898,149,7,5
Association of American Schools in South America,0,27155,129,45,15,61,54,514,74,37,1
Zanskar Range,3,26274,1,281,0,20,16,14531,2329,18,0
C14H20ClNO2,4,4333,6,1,0,14,9,98,15,1,0
Ally Venable,2,116098,14,12,9,98,47,1026,182,3,0
Coffeeweed,0,22393,7,6,0,11,8,101,16,1,3
Norilsk,68,3067964,346,520,137,1121,549,37308,5857,44,6
Carl Zillier,0,5052,19,7,6,10,6,784,128,2,1
Geocaching,45,3987821,305,1063,255,3714,1712,40965,6516,28,29
Powlesland and Mason (railway shunting contractors),0,9434,24,51,1,32,18,2014,331,6,1
Cormocephalus kraepelini,3,137,31,4,8,2,1,378,57,4,1
Chess boxing,36,1906149,502,1158,165,1338,715,16713,2689,31,7
Bob Parsons (American football),2,40640,125,133,26,89,69,5774,1004,6,0
Wind,158,3569906,579,2105,277,4360,2146,40267,6527,33,13
Bergeijk,28,35299,120,112,10,115,85,931,143,8,4
Harry Wills,6,136470,56,53,25,144,77,5234,871,10,0
Jorasanko,5,92603,239,276,11,108,45,3533,553,12,2
Life in the Twenty-First Century,0,9218,11,5,12,20,13,405,69,2,0
Robert Borden,33,761809,507,900,87,1812,813,32701,5167,30,9
Arrondissement of Millau,30,9423,135,124,12,63,34,810,133,4,1
Plays Tangerine Dream,2,4204,123,102,3,22,11,294,44,4,2
Hipster (contemporary subculture),40,4032269,257,806,96,5010,2303,24689,3772,17,14
Richard Cole,5,255756,196,191,27,264,134,7894,1350,10,1
Martín Muñoz de la Dehesa,28,6327,240,224,15,27,22,194,33,2,5
Serbian hip hop,4,142441,398,340,13,693,354,13445,2361,26,2
Alnitak,44,404060,408,185,49,331,189,4101,707,9,7
The Satanic Verses,55,6581528,168,480,36,1699,1013,13575,2162,11,5
NSB Di 8,3,38187,464,202,19,110,65,9418,1576,5,4
Haliplus apicalis,3,4135,26,5,13,6,5,128,25,2,0
"Louis, Dauphin of France (son of Louis XV)",37,988967,5,57,0,1,1,4972,865,11,0
"Powhatan, Louisiana",21,19020,80,63,12,90,58,2233,377,5,2
Seçkin Özdemir,12,421046,21,22,3,116,45,551,92,6,2
Anticoagulant,46,2789559,442,1119,338,683,392,22143,3284,23,52
"Uri, Sardinia",59,12517,126,105,7,86,46,1215,194,9,1
Civil Aviation Authority of Kosovo,2,9846,10,19,4,43,24,1426,209,5,1
Micro-Hydropower,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Greifenberg,35,16707,79,56,11,45,37,81,14,3,0
Sefidestan,4,8622,81,5,7,6,5,296,44,2,0
Telugu,120,427097,11,743,0,184,127,20,4,2,2
Exponential sum,8,157605,57,53,8,87,48,5117,849,12,2
The Children's Monologues,2,84624,40,26,8,43,26,1669,263,7,1
"New London, Wisconsin",28,96785,259,262,54,303,166,9806,1627,19,7
Palm Line,1,54747,86,177,25,285,72,3024,536,11,1
Exponential sum,8,157605,57,53,8,87,48,5117,849,12,2
The Children's Monologues,2,84624,40,26,8,43,26,1669,263,7,1
"New London, Wisconsin",28,96785,259,262,54,303,166,9806,1627,19,7
Palm Line,1,54747,86,177,25,285,72,3024,536,11,1
Happiness pump,1,6371,13,3,5,7,6,994,167,4,0
Eduard Krieger,15,22911,62,54,12,61,43,806,141,7,3
BBN Time-Sharing System,0,19034,59,48,5,22,8,3243,539,5,0
"Magny, Yonne",33,7855,459,432,11,49,34,134,17,3,0
Graziella Fumagalli,1,200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Sancourt, Somme",33,11217,807,784,11,63,40,264,44,5,0
Graziella Fumagalli,1,200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
